year,playerID,award
1,thompti01w,All-Star Game Most Valuable Player
2,leslili01w,All-Star Game Most Valuable Player
3,leslili01w,All-Star Game Most Valuable Player
4,teaslni01w,All-Star Game Most Valuable Player
6,swoopsh01w,All-Star Game Most Valuable Player
7,douglka01w,All-Star Game Most Valuable Player
8,fordch01w,All-Star Game Most Valuable Player
10,cashsw01w,All-Star Game Most Valuable Player
5,mcconsu01w,Coach of the Year
1,swoopsh01w,Defensive Player of the Year
2,blackde01w,Defensive Player of the Year
3,swoopsh01w,Defensive Player of the Year
4,swoopsh01w,Defensive Player of the Year
5,leslili01w,Defensive Player of the Year
6,catchta01w,Defensive Player of the Year
7,catchta01w,Defensive Player of the Year
8,jacksla01w,Defensive Player of the Year
9,leslili01w,Defensive Player of the Year
10,catchta01w,Defensive Player of the Year
10,lawsoka01w,Kim Perrot Sportsmanship
1,mcconsu01w,Kim Perrot Sportsmanship Award
2,wickssu01w,Kim Perrot Sportsmanship Award
3,gilloje01w,Kim Perrot Sportsmanship Award
4,campbed01w,Kim Perrot Sportsmanship Award
5,edwarte01w,Kim Perrot Sportsmanship Award
6,mcwilta01w,Kim Perrot Sportsmanship Award
7,staleda01w,Kim Perrot Sportsmanship Award
8,beviltu01w,Kim Perrot Sportsmanship Award
9,johnsvi01w,Kim Perrot Sportsmanship Award
1,phillta01w,Most Improved Player
2,arcaija01w,Most Improved Player
3,milleco01w,Most Improved Player
4,snowmi01w,Most Improved Player
5,milleke01w,Most Improved Player
5,palmewe01w,Most Improved Player
8,mccarja01w,Most Improved Player
9,hoffmeb01w,Most Improved Player
10,langhcr01w,Most Improved Player
1,swoopsh01w,Most Valuable Player
2,leslili01w,Most Valuable Player
3,swoopsh01w,Most Valuable Player
4,jacksla01w,Most Valuable Player
5,leslili01w,Most Valuable Player
6,swoopsh01w,Most Valuable Player
7,leslili01w,Most Valuable Player
8,jacksla01w,Most Valuable Player
9,parkeca01w,Most Valuable Player
10,tauradi01w,Most Valuable Player
1,lennobe01w,Rookie of the Year
2,stileja01w,Rookie of the Year
3,catchta01w,Rookie of the Year
4,fordch01w,Rookie of the Year
5,tauradi01w,Rookie of the Year
6,johnste01w,Rookie of the Year
7,augusse01w,Rookie of the Year
8,pricear01w,Rookie of the Year
9,parkeca01w,Rookie of the Year
10,mccouan01w,Rookie of the Year
8,pierspl01w,Sixth Woman of the Year
9,wiggica01w,Sixth Woman of the Year
10,bonnede01w,Sixth Woman of the Year
1,coopecy01w,WNBA Finals Most Valuable Player
2,leslili01w,WNBA Finals Most Valuable Player
3,leslili01w,WNBA Finals Most Valuable Player
4,rileyru01w,WNBA Finals Most Valuable Player
5,lennobe01w,WNBA Finals Most Valuable Player
6,griffyo01w,WNBA Finals Most Valuable Player
7,nolande01w,WNBA Finals Most Valuable Player
8,pondeca01w,WNBA Finals Most Valuable Player
9,smithka01w,WNBA Finals Most Valuable Player
10,tauradi01w,WNBA Finals Most Valuable Player
7,birdsu01w,WNBA All-Decade Team
7,catchta01w,WNBA All-Decade Team
7,coopecy01w,WNBA All-Decade Team
7,griffyo01w,WNBA All-Decade Team
7,jacksla01w,WNBA All-Decade Team
7,leslili01w,WNBA All-Decade Team
7,smithka01w,WNBA All-Decade Team
7,staleda01w,WNBA All-Decade Team
7,swoopsh01w,WNBA All-Decade Team
7,thompti01w,WNBA All-Decade Team
7,boltoru01w,WNBA All Decade Team Honorable Mention
7,holdsch01w,WNBA All Decade Team Honorable Mention
7,penicti01w,WNBA All Decade Team Honorable Mention
7,tauradi01w,WNBA All Decade Team Honorable Mention
7,weathte01w,WNBA All Decade Team Honorable Mention
