year,W,L,round,series,tmIDWinner,tmIDLoser
1,2,1,FR,A,CLE,ORL
1,2,0,FR,B,NYL,WAS
1,2,0,FR,C,LAS,PHO
1,2,0,FR,D,HOU,SAC
1,2,0,CF,E,HOU,LAS
1,2,1,CF,F,NYL,CLE
1,2,0,F,G,HOU,NYL
2,2,1,FR,A,CHA,CLE
2,2,1,FR,B,NYL,MIA
2,2,0,FR,C,LAS,HOU
2,2,0,FR,D,SAC,UTA
2,2,1,CF,E,CHA,NYL
2,2,1,CF,F,LAS,SAC
2,2,0,F,G,LAS,CHA
3,2,1,FR,A,NYL,IND
3,2,0,FR,B,WAS,CHA
3,2,0,FR,C,LAS,SEA
3,2,1,FR,D,UTA,HOU
3,2,1,CF,E,NYL,WAS
3,2,0,CF,F,LAS,UTA
3,2,0,F,G,LAS,NYL
4,2,1,FR,A,DET,CLE
4,2,0,FR,B,CON,CHA
4,2,1,FR,C,LAS,MIN
4,2,1,FR,D,SAC,HOU
4,2,0,CF,E,DET,CON
4,2,1,CF,F,LAS,SAC
4,2,1,F,G,DET,LAS
5,2,1,FR,A,CON,WAS
5,2,1,FR,B,NYL,DET
5,2,0,FR,C,SEA,MIN
5,2,1,FR,D,SAC,LAS
5,2,0,CF,E,CON,NYL
5,2,1,CF,F,SEA,SAC
5,2,1,F,G,SEA,CON
6,2,0,FR,A,CON,DET
6,2,0,FR,B,IND,NYL
6,2,1,FR,C,HOU,SEA
6,2,0,FR,D,SAC,LAS
6,2,0,CF,E,CON,IND
6,2,0,CF,F,SAC,HOU
6,3,1,F,G,SAC,CON
7,2,0,FR,A,DET,IND
7,2,0,FR,B,CON,WAS
7,2,1,FR,C,LAS,SEA
7,2,0,FR,D,SAC,HOU
7,2,1,CF,E,DET,CON
7,2,0,CF,F,SAC,LAS
7,3,2,F,G,DET,SAC
8,2,1,FR,A,DET,NYL
8,2,1,FR,B,IND,CON
8,2,0,FR,C,PHO,SEA
8,2,1,FR,D,SAS,SAC
8,2,1,CF,E,DET,IND
8,2,0,CF,F,PHO,SAS
8,3,2,F,G,PHO,DET
9,2,1,FR,A,SAS,SAC
9,2,1,FR,B,LAS,SEA
9,2,1,FR,C,DET,IND
9,2,1,FR,D,NYL,CON
9,2,1,CF,E,SAS,LAS
9,2,1,CF,F,DET,NYL
9,3,0,F,G,DET,SAS
10,2,1,FR,A,PHO,SAS
10,2,1,FR,B,LAS,SEA
10,2,0,FR,C,IND,WAS
10,2,0,FR,D,DET,ATL
10,2,1,CF,E,PHO,LAS
10,2,1,CF,F,IND,DET
10,3,2,F,G,PHO,IND
