year,W,L,tmID
1,6,0,HOU
1,1,2,ORL
1,3,3,CLE
1,0,2,WAS
1,4,3,NYL
1,0,2,PHO
1,2,2,LAS
1,0,2,SAC
2,1,2,CLE
2,4,4,CHA
2,1,2,MIA
2,3,3,NYL
2,0,2,HOU
2,6,1,LAS
2,0,2,UTA
2,3,2,SAC
3,3,2,WAS
3,0,2,SEA
3,6,0,LAS
3,1,2,HOU
3,2,3,UTA
3,1,2,IND
3,4,4,NYL
3,0,2,CHA
4,3,3,SAC
4,1,2,CLE
4,6,2,DET
4,0,2,CHA
4,2,2,CON
4,1,2,MIN
4,5,4,LAS
4,1,2,HOU
5,1,2,WAS
5,5,3,CON
5,1,2,DET
5,2,3,NYL
5,0,2,MIN
5,6,2,SEA
5,1,2,LAS
5,3,3,SAC
6,5,3,CON
6,0,2,NYL
6,2,2,IND
6,1,2,SEA
6,2,3,HOU
6,0,2,LAS
6,7,1,SAC
6,0,2,DET
7,2,3,LAS
7,0,2,HOU
7,6,3,SAC
7,0,2,IND
7,7,3,DET
7,0,2,WAS
7,3,2,CON
7,1,2,SEA
8,1,2,NYL
8,6,5,DET
8,1,2,CON
8,3,3,IND
8,0,2,SEA
8,7,2,PHO
8,1,2,SAC
8,2,3,SAS
9,4,5,SAS
9,1,2,SEA
9,3,3,LAS
9,1,2,IND
9,7,2,DET
9,1,2,CON
9,3,3,NYL
9,1,2,SAC
10,6,4,IND
10,0,2,ATL
10,3,2,DET
10,1,2,SAS
10,7,4,PHO
10,1,2,SEA
10,3,3,LAS
10,0,2,WAS
